Date_parsed,State,Year,Month,Data Value,State Name
2018-10-01,CO,2018,October,1018.0,Colorado
2018-09-01,CO,2018,September,1017.0,Colorado
2019-04-01,CO,2019,April,994.0,Colorado
2019-08-01,CO,2019,August,1017.0,Colorado
2019-12-01,CO,2019,December,1100.0,Colorado
2019-02-01,CO,2019,February,999.0,Colorado
2019-01-01,CO,2019,January,992.0,Colorado
2019-07-01,CO,2019,July,1008.0,Colorado
2019-06-01,CO,2019,June,1007.0,Colorado
2019-03-01,CO,2019,March,989.0,Colorado
2019-05-01,CO,2019,May,992.0,Colorado
2019-11-01,CO,2019,November,1072.0,Colorado
2019-10-01,CO,2019,October,1054.0,Colorado
2019-09-01,CO,2019,September,1038.0,Colorado
2020-04-01,CO,2020,April,1230.0,Colorado
2020-08-01,CO,2020,August,1438.0,Colorado
2020-12-01,CO,2020,December,1512.0,Colorado
2020-02-01,CO,2020,February,1131.0,Colorado
2020-01-01,CO,2020,January,1120.0,Colorado
2020-07-01,CO,2020,July,1375.0,Colorado
2020-06-01,CO,2020,June,1321.0,Colorado
2020-03-01,CO,2020,March,1174.0,Colorado
2020-05-01,CO,2020,May,1296.0,Colorado
2020-11-01,CO,2020,November,1519.0,Colorado
2020-10-01,CO,2020,October,1490.0,Colorado
2020-09-01,CO,2020,September,1479.0,Colorado
2021-02-01,CO,2021,February,1583.0,Colorado
2021-01-01,CO,2021,January,1557.0,Colorado
2021-03-01,CO,2021,March,1633.0,Colorado
2015-04-01,CT,2015,April,650.0,Connecticut
2015-08-01,CT,2015,August,728.0,Connecticut
2015-12-01,CT,2015,December,799.0,Connecticut
2015-02-01,CT,2015,February,633.0,Connecticut
2015-01-01,CT,2015,January,631.0,Connecticut
2015-07-01,CT,2015,July,722.0,Connecticut
2015-06-01,CT,2015,June,670.0,Connecticut
2015-03-01,CT,2015,March,639.0,Connecticut
2015-05-01,CT,2015,May,652.0,Connecticut
2015-11-01,CT,2015,November,800.0,Connecticut
2015-10-01,CT,2015,October,779.0,Connecticut
2015-09-01,CT,2015,September,748.0,Connecticut
2016-04-01,CT,2016,April,869.0,Connecticut
2016-08-01,CT,2016,August,928.0,Connecticut
2016-12-01,CT,2016,December,974.0,Connecticut
2016-02-01,CT,2016,February,836.0,Connecticut
2016-01-01,CT,2016,January,824.0,Connecticut
2016-07-01,CT,2016,July,906.0,Connecticut
2016-06-01,CT,2016,June,909.0,Connecticut
2016-03-01,CT,2016,March,849.0,Connecticut
2016-05-01,CT,2016,May,895.0,Connecticut
2016-11-01,CT,2016,November,939.0,Connecticut
2016-10-01,CT,2016,October,918.0,Connecticut
2016-09-01,CT,2016,September,929.0,Connecticut
2017-04-01,CT,2017,April,1018.0,Connecticut
2017-08-01,CT,2017,August,1081.0,Connecticut
2017-12-01,CT,2017,December,1080.0,Connecticut
2017-02-01,CT,2017,February,994.0,Connecticut
2017-01-01,CT,2017,January,985.0,Connecticut
2017-07-01,CT,2017,July,1074.0,Connecticut
2017-06-01,CT,2017,June,1056.0,Connecticut
2017-03-01,CT,2017,March,1019.0,Connecticut
2017-05-01,CT,2017,May,1046.0,Connecticut
2017-11-01,CT,2017,November,1066.0,Connecticut
2017-10-01,CT,2017,October,1092.0,Connecticut
2017-09-01,CT,2017,September,1083.0,Connecticut
2018-04-01,CT,2018,April,1065.0,Connecticut
2018-08-01,CT,2018,August,1063.0,Connecticut
2018-12-01,CT,2018,December,1070.0,Connecticut
2018-02-01,CT,2018,February,1058.0,Connecticut
2018-01-01,CT,2018,January,1053.0,Connecticut
2018-07-01,CT,2018,July,1066.0,Connecticut
2018-06-01,CT,2018,June,1069.0,Connecticut
2018-03-01,CT,2018,March,1065.0,Connecticut
2018-05-01,CT,2018,May,1052.0,Connecticut
2018-11-01,CT,2018,November,1097.0,Connecticut
2018-10-01,CT,2018,October,1081.0,Connecticut
2018-09-01,CT,2018,September,1083.0,Connecticut
2019-04-01,CT,2019,April,1080.0,Connecticut
2019-08-01,CT,2019,August,1183.0,Connecticut
2019-12-01,CT,2019,December,1231.0,Connecticut
2019-02-01,CT,2019,February,1080.0,Connecticut
2019-01-01,CT,2019,January,1087.0,Connecticut
2019-07-01,CT,2019,July,1130.0,Connecticut
2019-06-01,CT,2019,June,1102.0,Connecticut
2019-03-01,CT,2019,March,1074.0,Connecticut
2019-05-01,CT,2019,May,1093.0,Connecticut
2019-11-01,CT,2019,November,1197.0,Connecticut
2019-10-01,CT,2019,October,1189.0,Connecticut
2019-09-01,CT,2019,September,1185.0,Connecticut
2020-04-01,CT,2020,April,1333.0,Connecticut
2020-08-01,CT,2020,August,1324.0,Connecticut
2020-12-01,CT,2020,December,1385.0,Connecticut
2020-02-01,CT,2020,February,1276.0,Connecticut
2020-01-01,CT,2020,January,1263.0,Connecticut
2020-07-01,CT,2020,July,1362.0,Connecticut
2020-06-01,CT,2020,June,1348.0,Connecticut
2020-03-01,CT,2020,March,1288.0,Connecticut
2020-05-01,CT,2020,May,1348.0,Connecticut
2020-11-01,CT,2020,November,1368.0,Connecticut
2020-10-01,CT,2020,October,1364.0,Connecticut
2020-09-01,CT,2020,September,1353.0,Connecticut
2021-02-01,CT,2021,February,1403.0,Connecticut
2021-01-01,CT,2021,January,1385.0,Connecticut
2021-03-01,CT,2021,March,1413.0,Connecticut
2015-04-01,DC,2015,April,113.0,District of Columbia
2015-08-01,DC,2015,August,115.0,District of Columbia
2015-12-01,DC,2015,December,144.0,District of Columbia
2015-02-01,DC,2015,February,113.0,District of Columbia
2015-01-01,DC,2015,January,113.0,District of Columbia
2015-07-01,DC,2015,July,114.0,District of Columbia
2015-06-01,DC,2015,June,119.0,District of Columbia
2015-03-01,DC,2015,March,115.0,District of Columbia
2015-05-01,DC,2015,May,118.0,District of Columbia
2015-11-01,DC,2015,November,135.0,District of Columbia
2015-10-01,DC,2015,October,126.0,District of Columbia
2015-09-01,DC,2015,September,122.0,District of Columbia
2016-04-01,DC,2016,April,174.0,District of Columbia
2016-08-01,DC,2016,August,239.0,District of Columbia
2016-12-01,DC,2016,December,300.0,District of Columbia
2016-02-01,DC,2016,February,146.0,District of Columbia
2016-01-01,DC,2016,January,146.0,District of Columbia
2016-07-01,DC,2016,July,219.0,District of Columbia
2016-06-01,DC,2016,June,208.0,District of Columbia
2016-03-01,DC,2016,March,161.0,District of Columbia
2016-05-01,DC,2016,May,198.0,District of Columbia
2016-11-01,DC,2016,November,289.0,District of Columbia
2016-10-01,DC,2016,October,259.0,District of Columbia
2016-09-01,DC,2016,September,247.0,District of Columbia
2017-04-01,DC,2017,April,375.0,District of Columbia
2017-08-01,DC,2017,August,377.0,District of Columbia
2017-12-01,DC,2017,December,348.0,District of Columbia
2017-02-01,DC,2017,February,342.0,District of Columbia
2017-01-01,DC,2017,January,326.0,District of Columbia
2017-07-01,DC,2017,July,383.0,District of Columbia
2017-06-01,DC,2017,June,384.0,District of Columbia
2017-03-01,DC,2017,March,357.0,District of Columbia
2017-05-01,DC,2017,May,380.0,District of Columbia
2017-11-01,DC,2017,November,346.0,District of Columbia
2017-10-01,DC,2017,October,371.0,District of Columbia
2017-09-01,DC,2017,September,380.0,District of Columbia
2018-04-01,DC,2018,April,302.0,District of Columbia
2018-08-01,DC,2018,August,291.0,District of Columbia
2018-12-01,DC,2018,December,295.0,District of Columbia
